Course	Room	Teacher	Time	Students
011237	GIL210	3198619	2	0911775 0960068 0981989 1007134 1076238 1077416 
010959	CARP13	3208608	2	0911802 0967411 0988544 1003100 1010750 1037291 
010944	DAL100A	0777265	2	0911936 0920261 0958897 1004968 1005346 1006105 1007882 1083431 1083812 3085403 
009299	CARP17	3092667	2	1141729 
004882	PK227	0031489	3	0913946 0920251 1058421 
011206	CARP13	0129398	3	0913989 1007348 1032769 
007393	PK11	0987494	2	
010977	PK278	0492451	2	0967042 0972633 1003128 1015275 
002464	PK337	3208421	2	0914290 0914299 0980693 0992189 1016996 1050781 
005216	PK231	0493856	2	0915622 1143265 1169386 
011185	PK154	3195964	2	1081249 
005252	GIL101	3090017	2	0966077 1001196 1039679 1056815 1066308 1076274 1076783 1077065 1080894 1141220 1145146 3085644 
007017	TH251	3195964	3	0915740 1001394 1102530 
001844	PK349	1063828	2	0920095 0991763 0992796 0993169 0993532 1004225 1006744 1025533 1041559 1068549 1081101 1088180 1098099 1169257 1169962 3068369 3070438 3071094 3073507 3078465 3195980 
010948	PK180	1062534	2	0915885 0917334 0959189 0963413 0991120 0992616 0993566 1001351 1002606 1005068 1037745 1055441 1056738 1078390 1078896 1080808 3074792 3079369 3085083 3095968 3099165 3104489 3106953 
010950	PK264	1168489	3	0916427 0960037 3078408 
002175	TAYD	0168378	2	0918009 0954641 0960084 0970193 0988625 1002045 1002767 1036225 
006049	TH102	0031454	2	0918064 1008387 
004356	EHII	0847593	2	0918074 1009729 1025629 1049050 1063875 3072397 3092999 3094287 3097133 3100835 
001771	TH251	1165592	2	0944831 0991756 1056012 1143228 1169360 
008796	PK328	0576472	3	0919158 1131602 
002174	RCSEM	0004950	2	0972660 1008925 
001195	TH110	0031471	2	0920237 0986094 0988100 0988263 1000939 1007842 1025508 1029737 1057261 1067748 1078655 1079993 1080303 1085106 1092999 1102030 1117264 1137955 3088117 3089081 3089566 3105818 
009271	GOB	0058557	2	0920248 1005451 1066335 1076234 1100338 3073300 3098354 3103807 3103826 
006588	EHIII	0031478	2	0985094 0985440 0998799 1025522 
007111	PK200	0777265	3	1056738 
001768	ROSTUD	0027799	2	0952008 1078413 1088192 
003407	PEMSTD	1051448	2	
006041	EHII	0619470	3	0945959 0958879 0964596 1036225 1076989 1088384 1099662 
001861	CAN314	0056992	3	0989520 1029737 
004046	CARP25	0854975	3	0945969 1056963 1065183 3070374 3076896 
007404	ROSTUD	0056992	4	0945969 1002047 
001442	GIL210	3098022	3	0992186 1172355 
001457	PK232	0024663	3	1017840 1037338 1086927 
002153	PK243	0986606	3	0948390 1006405 1038420 1040045 1056096 1066778 1068549 1076299 1077413 1078390 1080808 1086867 1088120 1088636 1092187 1124785 1129814 1159063 1162008 1163326 1163860 1167996 1169257 1170071 1170823 3070344 3070438 3071094 3073146 3073357 3076456 3083787 3086400 3087444 3088090 3088124 3088521 3089566 3090266 3092072 3092431 3092999 3093221 3094809 3094908 3095105 3095111 3095335 3095968 3096011 3096592 3097133 3097347 3098799 3098883 3099448 3099911 3099986 3102380 3102599 3102915 3104541 3106561 3106835 
004394	PK10	0490454	3	1067182 
010969	GOCOM	1084458	3	0948568 0995269 
009342	PK11	0031522	3	0950811 
007378	PK25	3220272	3	0952443 0987347 0993506 1002036 1079085 1084363 1088558 1090564 1100537 1122784 1143723 1146782 1149344 1150720 1163278 1169382 1169402 3064977 3074167 3074734 3075163 3076930 3077163 3077623 3086015 3086180 3086238 3087394 3100408 3100897 3104770 3105802 3106131 
