Course	Room	Teacher	Time	Students
001836	PK227	0898918	3	0701809 0772927 0780450 0789284 0795445 0828017 0852940 0854032 0859719 0861815 0903917 0904516 0907063 0908998 0911218 0911802 0911936 0912699 0912781 0915885 0917334 0919283 0920095 0945449 0945809 0954240 0954830 0958984 0959200 0960037 0966077 0966094 0966299 0970193 0970262 0972861 0986094 0987937 0988271 0988625 0991668 0992744 0993506 0999715 1001613 1002047 1003020 1004733 1006438 1006444 1007348 1010643 1013071 1019827 1029737 1029787 1045379 1049299 1056980 1064605 1066309 1066924 1076246 1076776 1078836 1079771 1082907 1084334 1088180 
002160	PK264	0004950	1	0701809 0711460 0786916 0827963 0848150 0862049 0899241 0901688 0903917 0904506 0909942 0912781 0915652 0917334 0918009 0919283 0920095 0945969 0946010 0951991 0952783 0954240 0954641 0959189 0960037 0960084 0966299 0972660 0972861 0988271 0988625 0992744 0993506 0993551 1002045 1002767 1003020 1004733 1005102 1008925 1016434 1016793 1084909 1088180 
006846	PK337	0824244	1	0806886 0828017 0828036 0830280 0830807 0830886 0831966 0833438 0848492 0857087 0858864 0858872 0860532 0862152 0865276 0882323 0884876 0885444 0892206 0892458 0899636 0902371 0905540 0908164 0909692 0909837 0914260 0915885 0918118 0989590 0992616 1001613 1016462 
004051	TAYE	0031486	3	0707575 0772735 0830911 0860298 
001573	ARNST	0826962	1	0709543 0756732 0772735 0781472 0834544 0906738 0907172 0907462 0908002 0987861 0991756 
004888	CARP17	0031373	2	0709543 0742063 0772218 0778307 0779365 0810885 0825990 0826099 0828065 0828068 0829397 0858092 
004011	TAYE	1084297	4	0709554 0746210 0779276 0833511 0852456 0853174 0896224 0909216 0911807 0964596 0988245 0989395 0999195 1001806 1005412 1005720 1017412 1021017 1023923 1029210 1029787 1030683 1055441 1056012 1058421 1066924 1076299 1076531 1077417 1078648 1079614 1082919 1088180 1170860 
007125	EHII	0162976	5	0709554 0738079 0739031 0748627 0751242 0769686 0781527 0830141 0830269 0830791 0831031 0832171 0833511 0836379 0836471 0850607 0851297 0912081 
007374	DAL105	0987494	3	0710449 0774062 0807767 0822518 0828394 0848680 0849245 0852608 0861180 0865346 0870197 0892206 0896476 0900371 0900541 0901409 0903338 0906635 0911807 0912695 0958897 0967793 0968216 0986367 0988100 0989395 1015706 1086329 
007381	DAL105	0031611	4	0710449 0768049 0774062 0780450 0822518 0848680 0870197 0892206 0900371 0900541 0903338 0904706 0906362 0907596 0912695 0958897 0993532 1044561 
