Course	Room	Teacher	Time	Students
011299	TH224	0168763	2	3112294 3185597 3224950 3226945 3316273 3331277 3340292 3375410 3396460 3405145 3406042 3420837 3430401 3431740 3437781 
002463	PK259	0031373	3	3112448 3197293 
012845	DAL300	3195964	2	3112797 3116464 3129360 3134350 3159218 3161154 3211857 3217514 3217598 3218733 3222282 3263732 3278685 3310035 3314270 3389022 3390220 3411629 3415175 3415489 
003033	PK200	0492580	2	3158421 3162076 
007041	GOCOM	0162976	3	3112870 3260429 3338668 
005214	BYC239	3447549	2	3227014 
002470	CARP15	0697660	2	3173458 3177222 3326954 3330241 
001152	PK338	3453004	2	3113981 3221725 3222195 3224187 3249454 3323191 3330767 3331180 3341874 3357453 3374040 3374194 3375389 3375544 3377851 3380697 3381424 3397066 3402266 3402721 3405248 3405619 3406406 3411646 3413255 3413598 3415849 3416536 3417003 3417075 3417355 3417933 3418264 3418499 3421153 3421604 3421770 3422289 3424363 3425219 3425356 3426718 3429602 3429732 3430944 3431158 3431448 3431535 3432040 3432243 3432759 3433539 3433663 3434428 3434468 3435070 3435161 3436119 3436158 3436260 3437827 3438020 3438068 3439283 3439701 3439899 
003029	GOB	0492580	3	3114024 3211369 3316768 3324397 
003433	CARP21	0995587	2	3114024 3236337 3263080 3283602 3337335 3340316 3342814 3358378 3374470 3405604 3414395 3417284 3428820 3429832 3434210 3435397 3436212 3449263 
012765	PK349	3433185	2	3115170 3186604 3222477 3247072 3250244 3330906 3337037 3342969 3389674 3411258 3415858 3417001 
007374	PK180	0987494	2	3116065 3122279 3217450 3227364 3249123 3255755 3257543 3318430 3337781 3337851 3338175 3339074 3339814 3340533 3344151 3381824 3411018 3411254 3414068 3418907 3433929 3440116 
001199	EH103	3447549	3	3116269 3223347 3350670 3415217 3440606 
007106	CARP17	3447549	4	3116269 3339061 3339987 3340959 3374479 
006035	DAL10	0409737	2	3359188 3404179 3413193 3417135 
012354	TH121	0031756	2	3225356 
007910	PK127	0031539	3	3118334 3129160 
006524	TAYB	3451414	2	3119160 3128777 3129544 3212786 3224418 3437365 
012841	TH111	3447549	4	3119160 3239492 3351574 3364639 
005159	ROSTUD	0847173	2	3252368 3353511 3420884 
005291	PK232	3451425	3	3119907 3311775 3367107 
007391	CARP25	0031631	2	3128188 3149956 3158316 3211731 3224773 3257109 3324484 3324812 
002571	PK154	3398516	2	3329765 3423829 
001546	BYC127	0031756	3	3122354 3219743 3220795 3230579 3250514 3351809 3416232 3435628 3440175 
002163	PK336	3415849	2	3122431 3221305 3234786 3250227 3258482 3267842 3295955 3314060 3314413 3323539 3324231 3337950 3340556 
002164	CARP25	0180723	3	3227364 3319023 
011827	TH224	3415849	3	3122431 3201354 3221305 3221725 3250227 3257419 3258482 3267842 3295955 3314060 3314413 3323539 3324192 3324231 3337950 3338017 3340556 
011319	TH251	0827051	3	3122835 3232841 3388921 
004807	TAYC	3092667	3	3125605 3176913 3415627 3420037 3421044 3426718 3429566 3429706 
003026	TAYE	0492580	4	3125668 3158421 3162076 3184641 3225245 3227882 3228115 3228501 3256354 3269332 3324397 3329662 3329719 3339216 3342833 3397442 3406196 3411108 3413193 3416658 3417299 
001552	CARP13	0129398	3	3125756 3134309 3340292 3405151 3413582 
007070	TAYSEM	0316015	3	3126626 3221487 3278685 3338398 3340585 3414201 
007043	DAL300	3453711	3	3127208 3166052 3202052 3211821 3224179 3269263 3337322 3339987 3340003 3397992 3405604 3406073 3417791 3422414 3432243 3435627 
