84.09864
Zero Conflict:37125
Nonzero Conflict:3023
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
005173	36 / 67 / 36	PK338	3451425	14	1170001 3088757 3103190 3112960 3119160 3119618 3119907 3125605 3205483 3227361 3227669 3254734 3269332 3311775 3339814 3339827 3352054 3353145 3355412 3358768 3375410 3397586 3404386 3412100 3412381 3415801 3416640 3417073 3417314 3425356 3426735 3428844 3429706 3431449 3435248 3440036 
005195	34 / 67 / 38	PK338	0493855	17	3076022 3093424 3125756 3134180 3163273 3201574 3217598 3225012 3230579 3236006 3329814 3340672 3340959 3342762 3354500 3354609 3358960 3362442 3395937 3411005 3415870 3416424 3420025 3425219 3429810 3430152 3431828 3432759 3433849 3434210 3435384 3435771 3438471 3440024 
005263	12 / 65 / 12	TH110	0493855	15	1170001 3076022 3116065 3199454 3217598 3224991 3225371 3261773 3323851 3329814 3338504 3340672 
005310	12 / 65 / 16	TH110	0029475	16	3089636 3102969 3134217 3134350 3134622 3161051 3163273 3179084 3218971 3221418 3223591 3230579 
001843	11 / 67 / 14	PK338	0056992	15	1170021 3198863 3211857 3222282 3258485 3274299 3315095 3339216 3390220 3395937 3413451 
010965	14 / 67 / 16	PK338	0897706	16	3092704 3127208 3182934 3186604 3202466 3224418 3225193 3227767 3234723 3250514 3269275 3270555 3342833 3417000 
012326	15 / 65 / 16	TH110	3420576	17	1170021 3180674 3198380 3198918 3201900 3233965 3250803 3312519 3343387 3352660 3396206 3397012 3414201 3414298 3415489 
005723	21 / 67 / 28	PK338	0984701	18	1172355 3411059 3412549 3412874 3417166 3418441 3418907 3420037 3420837 3421770 3423970 3425401 3426638 3429732 3429834 3431158 3432027 3432259 3433539 3433849 3435722 
003275	18 / 65 / 18	TH110	0695890	18	3069495 3094516 3103343 3227364 3250683 3251781 3314546 3314570 3324289 3337390 3340096 3342762 3351895 3362442 3393147 3404732 3404976 3405144 
008469	17 / 65 / 17	TH110	3420576	20	3069495 3075829 3102974 3119618 3273028 3283602 3329729 3343387 3347767 3350812 3362442 3390220 3395937 3397807 3404732 3412755 3417002 
012107	13 / 67 / 20	PK338	0031619	19	3069495 3119618 3180674 3202261 3216292 3224484 3264284 3329729 3352040 3396837 3417002 3418117 3435922 
012437	18 / 67 / 19	PK338	0825571	21	3069495 3094516 3100182 3217450 3217652 3221877 3233965 3239900 3240203 3244115 3324812 3328955 3337334 3339074 3343615 3357367 3405393 3417933 
001770	6 / 65 / 11	TH110	0681020	19	3070536 3108728 3184862 3234723 3262457 3337542 
004083	19 / 67 / 19	PK338	1167978	20	3070536 3086565 3098747 3111488 3112355 3112797 3116805 3162924 3173458 3183035 3197712 3198356 3200739 3217421 3217514 3219221 3222477 3224476 3329449 
011294	11 / 65 / 12	TH110	0135660	21	3070536 3075829 3094719 3112448 3130435 3130894 3134180 3217451 3318988 3323354 3329727 
002564	10 / 65 / 10	TH110	0564741	22	3070697 3212073 3319602 3379786 3416398 3429894 3435931 3436260 3440075 3440409 
002569	7 / 67 / 9	PK338	3393847	23	3070697 3122279 3212073 3329765 3397334 3413146 3435931 
007926	5 / 65 / 5	TH110	0468281	24	3070697 3110781 3118334 3129160 3225022 
001206	21 / 67 / 23	PK338	0254151	22	3075759 3091931 3118476 3134180 3144208 3196457 3224993 3232841 3249454 3340838 3396313 3396892 3412520 3413255 3415217 3417359 3430383 3435183 3440116 3440606 3459730 
001896	5 / 65 / 5	TH110	0056992	23	3075759 3093818 3153098 3185451 3316273 
012032	5 / 67 / 5	PK338	3310251	24	3075829 3198263 3225302 3269275 3329814 
010725	16 / 67 / 16	PK338	3092941	25	3076022 3091931 3162779 3196460 3199454 3231817 3239404 3331071 3341079 3365419 3374569 3396036 3411018 3416073 3432238 3435627 
005728	7 / 65 / 7	TH110	0031543	25	3086565 3098747 3153272 3236006 3250803 3339074 3413774 
006518	21 / 65 / 25	TH110	0777265	26	3087450 3129544 3203637 3227014 3250227 3264954 3312519 3372100 3384120 3395942 3396226 3397012 3411158 3417088 3431448 3431750 3432077 3435922 3437701 3438473 3438550 
007378	38 / 67 / 39	PK338	0851717	26	3087465 3093424 3221877 3223998 3224773 3239900 3244115 3250244 3254239 3257109 3338175 3339156 3339814 3339830 3340797 3343615 3344151 3365419 3375120 3388921 3389022 3389574 3395299 3397042 3397265 3398117 3409210 3411005 3411018 3412261 3414068 3415619 3418106 3426213 3426638 3429733 3437756 3439283 
007404	2 / 65 / 3	TH110	0056992	27	3087465 3134508 
012732	6 / 65 / 6	TH110	0826964	28	3087465 3218962 3303699 3324812 3339051 3339052 
004889	13 / 67 / 13	PK338	3194193	27	3088757 3102995 3128366 3129360 3177222 3178456 3197712 3199006 3199632 3217514 3219743 3225022 3231318 
008770	89 / 9999 / 89	zoom	3194197	28	3088757 3099325 3160201 3183035 3196629 3198380 3221877 3240400 3245617 3264284 3316863 3329729 3331180 3337334 3337781 3338208 3339196 3342833 3350298 3352660 3367107 3375120 3377851 3390102 3390220 3396208 3396460 3397709 3398117 3404473 3404534 3405153 3405393 3405422 3405829 3406196 3406406 3411531 3411629 3412381 3412520 3412825 3412997 3413521 3413582 3413598 3414201 3414843 3415044 3415827 3416598 3417055 3417370 3417717 3417933 3418106 3418117 3418120 3418479 3418499 3420437 3421044 3421153 3423829 3424363 3425219 3429524 3430142 3430196 3430298 3430383 3431080 3431133 3432077 3432622 3433929 3435313 3435627 3435628 3436119 3436930 3437511 3437701 3438033 3438100 3438465 3439558 3440116 3440508 
011318	14 / 67 / 15	PK338	3092667	29	3088757 3109485 3122354 3199632 3276264 3287584 3304946 3316863 3340316 3401311 3402556 3404243 3404642 3418058 
001474	9 / 65 / 10	TH110	0020093	29	3089948 3102278 3128366 3130894 3132900 3161291 3162638 3201250 3225182 
011831	8 / 65 / 8	TH110	0103578	30	3089948 3223179 3251757 3255465 3287584 3344941 3366745 3432796 
