67.731
Course	Room	Teacher	Time	Students
006044	TAYD	0207327	1	0909942 0948095 0987600 1005082 1006438 1006444 1009729 1020520 1025629 1025644 1035148 1036225 1037541 1049929 1055348 1058223 1059469 1065183 1067334 1076989 1077161 1089147 1096470 1146370 1157047 3072477 3072594 3073169 3073666 3075188 3076211 3079376 3093174 3097607 
003031	TAYSEM	0375562	1	1058048 1078836 
008801	EHI	3194197	1	0916427 1005427 1076274 1076854 1088690 1169341 3133028 
010962	RCSEM	0915760	1	1020370 
011195	PK264	3212821	1	1049050 3092985 3107963 3133434 3162926 
004355	PK354	0847593	1	0917040 0988990 1020727 1057779 3132900 3134350 3163273 3225118 
005730	PEMSTD	0031392	1	
007125	PK336	0162976	3	0917040 0993790 1000750 1001394 1001905 1020695 1023923 1024315 1027597 1030369 1056963 1066679 1067748 1067862 1068109 1077257 1077294 1078819 1079614 1080149 1083626 3073143 3085644 
001151	PK25	0309967	2	0918549 1068549 1080808 1088120 1090933 1100129 1102354 1116854 1131189 1170757 3064940 3071094 3072063 3073138 3073146 3074289 3082398 3086015 3087394 3087465 3087983 3088421 3089341 3090066 3090785 3092236 3092580 3093369 3095050 3095588 3096592 3097953 3098747 3099165 3099989 3100155 3102105 3102278 3102316 3104653 3105818 3116805 3118334 3126626 3129544 3130894 3132705 3134180 3153098 3160321 3161051 3167586 3172803 3196371 3201250 3202261 3211569 3212786 3212902 3216872 3218938 3219871 3220365 3223998 
001841	PK10	0814748	1	0918549 1003644 1025533 1029566 1055290 1065142 1083594 1085106 1088558 1088785 3071094 3072484 3080595 
006508	PK337	0031478	1	1136830 3085836 3100897 
004082	TH104	0854975	1	0919772 1019006 1023923 1039831 1040818 1065271 1170479 
010953	CARP17	0058557	1	1006105 3073143 3087407 
002564	ROSTUD	1168490	2	0948095 3070476 
011035	DAL105	3213250	1	1034405 1102030 1170567 3092236 3144208 
011325	GOCOM	0554585	1	
003416	PK336	0031477	2	0948568 1005451 1019025 1019212 1067241 1076234 1080654 1081250 1085061 1101350 1104151 1122905 1162688 1165961 3079369 3092999 3094809 3097894 3103177 3116065 
008763	TH110	0899465	1	0948568 1029787 1041981 1056815 1064035 1067726 1076923 1081939 1081952 1101350 3068712 3075759 3079675 3087450 3089298 3095725 3099989 3102000 3102105 3105287 3106762 3108046 3113444 3116269 3118205 3125668 3133451 3134309 3134508 3160245 3161051 3162611 3170761 3185597 3189516 3196457 3198788 3201574 3205483 3211826 3212716 3212902 3217578 3223362 3223822 3224418 3224991 3225012 3225017 3234753 
002464	TH111	3208421	1	1056910 1149270 3070090 3073692 3074001 
011045	PK259	3213249	2	0952443 3105802 
002856	PK338	0127086	1	0958492 1066982 1077683 1079756 1087490 1157688 1161960 1163417 1164190 1170709 3070881 3072890 3073525 3074314 3074634 3074891 3074965 3076489 3077762 3081368 3082682 3086015 3086536 3087347 3087394 3087433 3087696 3088117 3088521 3088652 3088812 3088988 3089566 3090266 3090362 3090519 3090537 3091295 3091573 3091695 3092294 3093697 3094287 3095009 3095111 3095335 3095630 3095649 3095719 3095968 3096011 3096547 3097158 3097462 3097636 3097903 3097953 3098292 3098354 3099468 3099757 3099774 3099986 3100824 3100876 3102057 3102868 3102884 3102915 3104653 3104770 3105511 3105818 3105820 3106068 3106131 3106835 3224248 
006036	TAYB	0031526	1	1024283 
007370	EHII	0826964	1	0987347 1021867 1041140 1065732 1067502 1102354 1122784 1129708 1143723 1150720 3073066 3073138 3076930 3077809 3086698 3088651 3102832 3104386 3160012 
006059	CARP15	0031384	1	1000355 1005059 1018936 1036027 1077482 1081917 
001551	CARP13	0031756	1	1160885 
011294	RCCON	0135660	1	1079993 1137955 
001248	CARP17	0135660	2	0988263 0999733 1011104 1018817 1055078 1077417 1079993 
004011	PK243	0215359	1	0988263 0992801 1067862 1163897 1170001 3077471 3079369 3085909 3089892 3092580 3112294 3128777 3129360 3130435 3160150 3160366 3162924 3179084 3218962 3220980 3224891 
004666	GOA	0775640	1	0988603 1001613 1055441 1058421 1078655 1086867 1111549 1117320 1141220 3072910 3093770 3112960 3199412 
006865	CAN311	0031335	1	
006867	PK328	0750235	1	1057535 1100129 3071151 3074023 
003516	GIL101	0031477	3	0988826 1029566 1035148 1056857 1058180 
004804	CARP13	0348369	2	0988826 3085909 3089298 3178456 3218974 
006518	PK243	0777265	2	0988990 1021017 1049299 1055590 1059677 1087116 1093044 1095596 1104669 1150758 3073384 3087449 3091573 3092294 3099729 3100897 3222819 
006530	TAYB	0031399	2	0992801 1169109 3102322 3162926 3199632 3218971 
009303	EHI	0029475	2	1001806 1020727 1056320 1076923 1079384 1169257 
003554	PEMSTD	0599596	2	0991213 
007107	TH251	0031568	2	0992186 1005427 1018252 1078390 1081006 1088690 1143717 
011063	TH104	3195964	2	1084321 
007026	TAYF	3198619	2	1018857 1020370 1025569 1068383 3088651 3094695 3098354 3105511 3196629 
008820	EHSEM	0031572	2	1047318 1078508 1080398 1146215 1160158 3074891 3075745 3188275 
002412	CARP15	1051497	2	0998351 1023494 1039943 1055640 1086710 1086927 3073300 3074001 3100628 3195980 
011326	TH251	1051497	3	0998351 1019827 1039943 1046086 1056270 1056910 1097648 3070090 
003007	GOB	0222805	2	1000355 1026650 1032929 1056722 1067334 1078836 1158208 1170703 3073004 3073169 3079376 3085509 3085986 3087352 3092972 3095842 3096962 3104386 
004888	PK227	0053518	2	1001351 1018271 1029210 1041981 1056217 1056270 1064385 
001845	GIL210	0123161	2	1036442 1057261 1058180 1076783 1095157 1163860 3073507 3099359 3106835 
001852	GOCOM	0409956	2	1038420 1055290 
008774	PK10	0899465	2	1001613 1037541 1056024 1087490 1105086 1141167 1170567 3073692 3094908 3105820 
002469	TH3F	0697660	2	1058242 1066007 
004807	PK354	3092667	2	1001894 1066982 3070090 3100762 3106769 3160149 3198776 3314231 
004072	TAYSEM	0031578	2	1001905 1039831 1065646 1099059 3104731 
009359	DAL318	0031386	2	
011296	CAN314	0468281	2	
005243	EHIII	3310303	2	1034578 3085083 3212073 3224227 
007375	PK229	3310805	2	1002036 1025508 1060299 1064790 1065732 1084363 1102030 1122784 1124785 1143723 1146782 1149344 1163278 1167714 1169360 1169369 3064977 3074734 3076930 3088812 3092360 3097903 3133028 
003451	GOB	0599596	3	1002241 1018271 1078390 1162293 3070017 3074965 3075163 3088117 3089566 3099359 3107254 
011305	TH102	0751777	2	1002241 1018174 1040868 1056012 1065196 1076437 1077683 3081669 3103807 
