79.728966
Zero Conflict:21990
Nonzero Conflict:2520
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
002992	72 / 111 / 72	PK338	0375562	14	0757321 0903222 0913946 0948095 0984724 0987243 1002248 1002606 1005102 1005112 1008967 1013071 1017444 1018271 1019025 1019940 1020727 1021017 1026650 1029787 1038303 1056963 1057610 1058223 1059677 1065142 1065781 1067862 1068383 1076923 1076989 1078648 1078896 1081249 1084187 1086867 1087960 1088690 1093044 1094929 1095349 1097648 1136830 1139392 1142227 1146782 1150720 1150758 1161132 1169968 1170567 1170848 1171002 1172030 3070440 3072208 3072477 3072910 3073004 3073066 3073143 3073169 3073384 3074570 3074930 3074936 3075745 3076618 3077472 3079376 3085403 3085513 
001766	11 / 89 / 11	TH110	1165592	15	0769851 0855859 0873190 0953178 0967411 0980544 0988355 1007348 1035148 1037541 1077380 
009295	3 / 89 / 3	TH110	0057974	16	0769851 0832608 1056012 
010728	17 / 111 / 17	PK338	0320266	17	0769851 0832608 0833188 0847304 0867494 0871309 0897911 0903229 0903436 0903633 0905351 0907665 0908002 0913115 0914509 1005068 1056203 
003026	16 / 89 / 16	TH110	3093799	17	0770854 0818674 0848719 0853970 0868309 0870907 0872721 0890945 0896929 0907155 0910436 0913466 0967988 0986262 1000895 1002729 
004072	10 / 89 / 10	TH110	0031578	18	0770854 0833188 0864043 0865645 0867494 0874063 0899440 0899481 0965927 1065183 
006042	22 / 111 / 30	PK338	0554585	19	0770854 0812824 0823997 0828036 0850327 0851310 0853970 0861690 0865750 0890665 0899767 0907914 0910421 0910436 0945959 0948095 0952594 0958879 0991769 0999715 1001039 1013197 
001183	12 / 111 / 12	PK338	0406445	18	0773014 0819118 0858034 0904540 0907462 0911856 0917702 0918064 0985440 0988620 1019006 1025569 
005847	2 / 89 / 9	TH110	0467475	19	0773276 1057779 
007034	12 / 89 / 12	TH110	0031573	20	0773276 0913946 0960068 0980544 0993790 1008282 1021751 1056203 1076299 1077257 1077294 1077416 
001164	38 / 111 / 38	PK338	0309967	20	0773385 0807767 0848680 0858114 0858527 0861815 0871681 0885444 0885910 0890199 0902371 0915652 0915885 0918064 0951991 0952211 0954830 0958897 0958984 0966299 0986807 0987937 0988271 0989520 0991763 0999733 1007554 1010643 1020083 1025569 1036225 1037745 1056096 1056600 1057520 1064045 1078680 1088180 
001839	24 / 111 / 26	PK338	0898918	21	0773385 0828017 0892236 0902371 0907897 0911936 0912781 0915885 0920095 0946010 0954240 0954641 0959200 0960068 0966299 0989590 0992616 0993506 1002045 1029787 1064605 1084909 1088180 1172397 
001862	13 / 89 / 13	TH110	0031557	22	0773385 0858872 0899636 0902371 0903278 0908998 0954240 0958984 0960068 0993506 0993551 1004733 1088180 
003277	4 / 89 / 4	TH110	3094764	21	0774062 0908375 0912333 0915226 
003514	14 / 111 / 15	PK338	0031477	22	0774062 0786916 0859564 0867801 0869575 0889839 0896979 0906035 0910725 0912699 0915006 0990668 1017760 1085631 
002866	17 / 111 / 17	PK338	0467475	23	0774831 0780450 0879882 0896929 0918153 0985440 0988544 0998799 1002241 1007196 1017412 1044157 1078646 1088180 1111901 1169341 3070406 
007070	14 / 111 / 14	PK338	1168163	24	0774831 0779276 0868309 0870907 0887130 0896287 0898741 0918519 0967793 1005068 1007134 1056203 1068052 1079614 
007127	22 / 111 / 22	PK338	0028980	25	0774831 0779276 0808392 0824978 0833188 0850607 0850690 0859231 0860204 0867165 0867494 0887130 0887647 0898741 0903229 0905351 0905954 0906738 0907493 0907665 0914509 0914916 
001180	10 / 89 / 10	TH110	0031388	23	0779081 0871681 0887467 0904540 0950504 0954830 0993551 1007842 1011104 1079993 
001433	7 / 89 / 7	TH110	0031632	24	0779081 0869484 0901732 1077815 1082919 1083627 1172355 
001455	6 / 89 / 6	TH110	0020093	25	0779081 0851684 0858527 1007196 1017840 1082919 
001576	8 / 89 / 8	TH110	3093377	26	0781472 0849809 0850607 0860265 0888735 0906738 0907172 0988631 
002394	6 / 89 / 7	TH110	0020988	27	0781472 0851310 0899767 0909560 0993169 1023494 
001864	12 / 111 / 12	PK338	0031557	26	0786916 0830280 0848492 0862049 0862152 0892206 0900429 0901688 0905540 0909692 0912781 1002364 
006846	21 / 111 / 26	PK338	1167884	27	0786916 0899481 0901688 0903917 0917334 0966077 0966094 0972660 0972861 0988271 0999715 1002047 1002364 1036225 1045379 1056980 1065142 1067182 1080648 1083627 3079272 
001566	9 / 111 / 9	PK338	3093377	28	0789284 0851403 0873557 0899767 0903449 0909662 0966125 3071151 3082398 
001568	8 / 89 / 8	TH110	3093377	29	0789284 0851403 0873557 0899767 0903449 0909662 0966125 3071151 
004301	3 / 89 / 3	TH110	1165566	30	0789284 0819816 0909837 
001892	8 / 89 / 8	TH110	0409956	28	0799016 0848492 0858872 0861391 0887308 0903278 0908164 0918118 
005157	13 / 111 / 16	PK338	1062910	29	0807750 0871309 0915648 0988990 0993532 1010741 1017832 1032432 1057592 1067460 1084017 1096822 1128560 
009299	7 / 111 / 11	PK338	3092667	30	0807750 0850327 0856959 0859310 0911347 0950811 1085324 
007377	8 / 111 / 14	PK338	0031522	31	0807767 0848719 0958897 0967793 1007779 1025533 1067377 1079268 
007087	2 / 89 / 3	TH110	0031573	31	0808392 0913115 
008765	59 / 111 / 64	PK338	0431786	32	0906085 0918549 0987347 0987861 1001613 1001894 1002047 1003128 1011104 1018271 1020478 1020695 1020727 1027597 1030369 1032769 1037541 1053105 1055590 1056217 1056970 1057610 1058058 1067377 1067483 1077161 1079085 1079384 1082150 1082907 1084363 1085631 1087960 1088636 1088882 1090933 1092187 1095814 1096470 1102030 1115477 1121871 1126492 1131602 1134015 1142309 1143723 1149270 1149344 1150720 1150965 1160885 1170470 1170567 1172030 3064977 3070438 3072594 3073300 
002175	13 / 89 / 13	TH110	0168378	32	0812300 0847932 0851403 0861690 0865276 0868382 0884876 0886763 0890199 0897310 0901946 0911941 1015706 
006044	29 / 111 / 31	PK338	0031526	33	0812300 0812824 0822717 0822753 0851310 0862049 0865750 0868382 0888075 0890043 0890665 0896929 0899419 0910421 0910436 0914916 0915622 0945959 0954830 0958879 0964596 0987613 0991769 1005059 1007196 1013197 1016434 1018936 1040818 
004021	6 / 89 / 8	TH110	0031486	33	0818674 0899440 1001905 1019006 1081939 1170479 
005730	3 / 89 / 4	TH110	0031392	34	0903064 1169968 3068353 
001763	10 / 111 / 10	PK338	0027799	34	0818892 0851545 0896979 0903035 0952008 0954240 0987613 1003100 1039943 1102723 
005210	13 / 89 / 13	TH110	0493856	35	0819263 0859186 0892333 0909216 0918277 0957333 1003389 1005412 1010750 1019212 1055640 1149565 3073004 
002413	21 / 111 / 23	PK338	0169579	35	0819450 0825616 0897931 0904719 0958897 0993169 0998351 0998885 1001351 1001806 1005102 1005315 1019025 1019827 1023494 1038420 1056270 1058058 1076234 1083430 1088384 
002472	17 / 111 / 17	PK338	0493725	36	0819450 0825616 0845664 0852945 0855859 0858034 0859066 0859186 0882728 0887467 0894845 0897091 0903191 0906206 0908002 0918153 0919825 
003006	8 / 89 / 12	TH110	0492580	37	0819450 0847790 0903229 0904506 0905453 0910421 1004997 1058242 
001856	3 / 89 / 3	TH110	0826942	36	0819816 0887308 0989520 
001845	10 / 111 / 15	PK338	0123161	37	0820055 0908998 0958984 0989520 1010643 1013071 1016793 1056281 1056980 1126492 
007364	89 / 111 / 89	PK338	0031611	38	0820055 0829808 0856128 0860257 0860663 0866299 0867153 0868541 0907155 0909216 0909942 0915622 0917040 0920400 0958492 0987861 0992186 0992744 0993929 1001394 1001894 1001905 1003020 1004997 1005315 1006105 1020083 1020478 1020520 1025508 1025623 1027597 1028249 1037745 1042335 1046439 1049299 1049929 1053370 1055290 1055640 1056217 1056281 1056320 1056600 1058048 1060299 1063875 1065271 1066335 1068383 1068549 1076274 1077003 1077294 1077416 1079614 1080398 1081250 1082907 1083430 1083431 1083626 1084334 1084462 1086710 1087081 1088972 1089147 1092116 1095349 1095814 1101031 1102030 1122784 1143265 1149344 1169109 1170033 1170071 3070374 3072447 3072867 3073004 3073300 3073384 3073666 3089651 3095924 
003463	12 / 89 / 12	TH110	0599596	38	0822518 0859719 0887308 0888735 0906035 0993506 1000939 1001039 1015275 1056012 1170860 3068369 
007395	12 / 89 / 12	TH110	1167859	39	0822518 0848680 0849245 0865750 0896476 0900371 0900541 0901409 0903338 0906362 0906635 1086329 
005248	11 / 111 / 12	PK338	3090017	39	0822753 0827772 0861504 0865618 0883015 0887398 0899636 0953178 0963528 0971073 1172030 
006033	21 / 89 / 21	TH110	0619470	40	0822753 0828036 0858850 0861730 0880639 0901961 0908862 0910884 0915622 0945959 0959337 0964596 0967988 1001039 1002248 1002405 1016434 1056722 1068052 1068526 1086916 
006059	17 / 111 / 24	PK338	0031384	41	0828036 0858850 0889858 0892333 0892458 0896287 0897310 0899316 0899481 0899767 0901961 0907914 0908862 0910884 0911598 0912081 0915543 
006040	6 / 89 / 8	TH110	0409737	42	0823997 0861730 0892333 0909240 1000895 1016434 
009270	36 / 111 / 37	PK338	1084371	43	0848680 0858924 0873190 0898872 0901961 0904752 0904918 0906635 0907248 0917165 0918074 0918277 0952211 0953178 0968216 0971073 0998815 1005427 1020478 1038303 1064385 1066007 1066679 1068526 1077003 1077294 1078508 1080894 1083080 1088972 1131189 3065039 3070648 3071015 3074570 3076930 
001423	21 / 111 / 21	PK338	0031403	40	0824299 1010741 1059469 1080757 1086710 1092116 1096113 1098210 1102030 1117264 1122784 1137955 1140609 1158026 1169968 3072293 3072867 3073357 3074551 3076211 3077471 
004377	3 / 89 / 3	TH110	0847593	41	0824978 0850382 3080198 
007125	18 / 111 / 18	PK338	0162976	42	0824978 0825616 0849379 0860204 0887647 0902541 0903229 0905351 0906206 0906738 0909693 0914916 0982172 0992223 1000990 1005068 1068052 1076776 
009231	8 / 89 / 11	TH110	3093827	43	0850607 0858034 0859066 0894845 0945584 0980693 0999896 1076246 
005274	2 / 89 / 3	TH110	1020104	44	0827772 0858864 
008420	36 / 111 / 37	PK338	0031553	44	0827963 0906085 0906618 0907596 0909942 0945635 0976318 0989395 1000750 1005427 1006405 1018174 1032929 1037338 1044791 1050781 1053105 1056688 1064385 1067382 1073544 1077874 1078390 1078508 1087782 1088192 1088785 1093044 1145578 1149270 1157688 1170303 1170757 3068353 3071734 3076576 
008423	9 / 111 / 9	PK338	0132890	45	0827963 0900525 0991120 1058421 1064270 1079614 1095349 3070090 3073143 
008492	11 / 111 / 13	PK338	0031462	46	0827963 0862176 0871788 0902226 0905954 0907596 0907897 0976318 0988544 1003539 1080149 
004806	2 / 89 / 3	TH110	0032827	45	1082919 1141729 
001561	8 / 89 / 8	TH110	0683480	46	0828394 0851684 0908862 0910834 0964596 1018301 1104151 3070374 
007380	10 / 89 / 12	TH110	1167859	47	0892206 0900371 0903338 0906635 0912695 1002036 1002047 1003128 1055441 1077413 
007387	3 / 89 / 4	TH110	0031522	48	0832137 0988100 1002606 
002562	6 / 111 / 12	PK338	1167856	47	0897101 1064780 1067726 1095596 1171297 3072063 
001894	7 / 111 / 7	PK338	0814748	48	0830280 0861815 0882323 0892236 0903600 0905540 0909692 
001748	4 / 89 / 6	TH110	0254474	49	0832653 0848773 1092999 3068369 
004013	25 / 111 / 29	PK338	0163316	50	0832653 0861504 0988625 0991763 0992796 0998351 1007952 1055290 1056738 1058180 1064790 1067334 1067724 1081952 1083626 1085061 1085106 1099059 1104669 1141220 1158362 3067556 3070374 3076896 3078500 
003275	15 / 111 / 18	PK338	3093862	49	0834138 0848355 0850382 0887586 0892568 0915226 0945449 0952594 0960497 0999733 1003128 1004324 1005112 1067502 1086489 
006058	1 / 89 / 5	TH110	1167858	50	0834138 
004355	9 / 89 / 18	TH110	0989327	51	0845664 0914599 0957333 0988620 1007196 1076783 1142418 1149565 3070648 
002856	24 / 111 / 75	PK338	0492451	51	0847790 1001894 1005412 1019827 1021017 1039943 1040818 1041981 1054176 1056281 1056600 1057261 1058048 1064148 1066007 1067334 1067724 1068383 1076299 1078413 1079614 1080149 1084334 1085061 
003003	23 / 111 / 23	PK338	0031406	52	0847790 0860298 0875055 0887647 0907063 0910056 0911775 0987600 1000355 1002241 1008282 1008387 1023923 1034405 1047318 1056722 1058048 1064780 1076776 1077294 1078819 1079366 1081917 
004359	18 / 89 / 18	TH110	0989327	53	0847790 0868541 0900525 0965925 1005315 1047339 1054176 1055348 1056600 1062675 1068109 1084334 1104356 1116854 1117142 1139478 3064940 3078073 
001764	13 / 89 / 13	TH110	1165592	52	0847932 0907218 0988544 1004225 1015275 1030369 1032769 1042335 1076238 1077815 3071094 3074734 3078408 
008763	50 / 111 / 51	PK338	0428728	53	0848492 0901703 0903222 0908998 0912081 0918775 0945959 0946010 0959200 0988826 0998815 1002036 1007348 1020150 1024213 1025623 1037291 1059572 1067460 1078648 1079268 1084185 1084321 1087938 1088365 1093044 1098099 1100536 1100537 1101336 1104151 1122784 1129708 1160614 1169382 3068369 3070344 3070440 3071313 3072447 3073066 3073666 3073692 3074930 3076190 3076576 3077064 3077336 3079376 3085509 
006029	17 / 111 / 48	PK338	0368960	54	0848719 0988603 1005082 1006444 1025629 1036027 1036442 1037541 1056722 1058223 1064780 1066915 1068052 1082799 1117142 1171297 3073169 
001751	6 / 89 / 6	TH110	0254474	55	0848773 0851545 0858181 0890043 0910834 0998885 
005271	2 / 89 / 4	TH110	1137952	54	0865582 0914260 
001569	6 / 111 / 11	PK338	3093377	56	0849809 0892458 0907897 0908998 0918118 1001613 
009212	8 / 111 / 8	PK338	0827357	55	0850327 0889384 0915652 1025379 1025508 1057261 1079614 1083431 
010722	6 / 89 / 9	TH110	3094084	56	0850382 0851684 0856959 0858864 0908862 0918277 
001547	4 / 111 / 7	PK338	1054236	57	0916595 0918009 3069038 3075745 
005854	5 / 89 / 5	TH110	0031582	57	0851111 0851112 0865645 0908461 1039831 
009259	21 / 111 / 21	PK338	0031416	58	0851111 0851112 0862176 0879882 0888222 0889858 0897931 0901946 0908461 0918153 0965925 0986807 0988625 0989520 0991213 1018817 1028249 1057261 1065732 1136830 1157047 
005722	26 / 111 / 26	PK338	0984701	59	0851310 0904719 1017492 1018183 1039831 1056857 1060299 1077874 1083430 1083812 1101031 1104216 1116377 1141729 1150758 1157047 3068712 3071015 3072867 3074734 3074936 3077809 3081061 3082398 3085504 3086238 
001448	7 / 89 / 7	TH110	0031403	58	0851545 0896036 0950504 0993532 1025845 1057779 1078819 
002872	7 / 89 / 8	TH110	1084458	59	0897931 0905453 0966414 1037338 1090564 1096113 1099059 
006564	3 / 13 / 5	EHSEM	0777265	1	0852109 0858181 0985440 
009322	14 / 37 / 16	CARP21	0127086	2	0852109 0888075 0911936 0912695 0918118 0984724 0985440 0993929 0999715 1002606 1007134 1008925 1032929 1067251 
009358	1 / 10 / 4	PK10	0031386	1	0872721 
003499	13 / 23 / 14	TAYD	0031353	1	0852192 0867801 0902217 0903064 0907665 0916427 0945034 0988271 1003100 1005451 1017760 1053370 3095924 
002469	6 / 18 / 8	TH111	0031489	1	0852945 0859066 0882728 0911598 0993169 0999896 
003447	21 / 37 / 28	TAYF	0031359	1	0853988 0860497 0889384 0889839 0904918 0953178 0967411 0968216 0988657 0991213 0993506 0993566 1037413 1039679 1040868 1041140 1076274 1077416 1080398 1169360 3072447 
004065	3 / 8 / 4	PK328	1167978	1	0858114 0889210 0903035 
004036	7 / 17 / 8	DAL100A	0030564	1	0858752 0945809 0954240 0982172 1000939 1039831 1081939 
005123	2 / 5 / 3	PK300	0031560	1	0858872 0898741 
003454	30 / 59 / 30	DAL204	0995587	2	0858924 0907150 0918775 0952211 0965925 0988271 0990668 0991213 0991756 0993566 0995269 0998815 0998885 1003389 1005315 1010175 1018174 1025379 1030683 1037541 1039868 1040868 1044561 1044791 1065238 1066778 1067297 1076437 1078413 1085631 
004839	5 / 14 / 7	DAL318	0697660	1	0859186 0903600 1007348 1058242 1084017 
007124	4 / 14 / 6	GOA	1075274	1	0887130 0905351 0905954 0967793 
008767	9 / 26 / 18	TH224	0431786	1	0859231 0984724 1019212 1049929 1065183 1083627 1117264 3068772 3073702 
007900	9 / 18 / 9	TH251	0031539	1	0860257 0886011 0908461 0911218 1002241 1032432 1040045 1046439 1076085 
010725	2 / 13 / 6	CARP17	3092941	1	0912333 0965925 
003007	18 / 31 / 21	PK243	3093799	1	0860298 0865667 0875055 0887647 0899241 0899419 0901688 0903436 0907063 0967988 0999733 1000895 1018301 1025522 1055640 1065654 1080792 3077471 
004725	2 / 18 / 9	EHI	0031462	1	1039868 1064270 
004009	25 / 89 / 34	TH110	0030564	2	0860659 0901703 1005082 1008282 1010741 1025035 1030693 1056722 1065646 1076783 1078646 1078655 1080272 1093549 1098210 1122905 1131189 1136830 1149616 1159063 1171461 3071151 3073169 3074001 3078465 
002637	4 / 17 / 8	CARP15	0828228	1	0907151 0992223 1001394 1005199 
009262	10 / 21 / 14	CARP25	1168430	1	0860663 0917165 0958186 0986367 1020083 1020478 1046086 1170823 1171002 3077809 
004735	3 / 4 / 3	RCSEM	0467479	1	0861648 0889700 1067182 
010727	9 / 18 / 10	TH102	3094620	1	0861815 0867165 0904516 0945449 0966077 0970262 1005112 1020370 1084187 
004666	7 / 20 / 11	PK278	0775640	1	0865276 0887877 0892236 0896036 0992616 0998799 1005068 
006519	8 / 18 / 9	TAYB	0031478	1	0865618 0870197 0883488 0899316 0906362 1006438 1077257 1083431 
006562	1 / 18 / 3	TH111	0031573	2	0865667 
002162	18 / 30 / 20	EHII	0986606	1	0866299 0904506 0917334 0918009 0919283 0946010 0952783 0954641 0959189 0960084 0966094 0972660 0972861 0988625 1002045 1002767 1008925 1080648 
003440	8 / 30 / 12	EHII	0031359	2	0867801 0879882 0902217 0906035 0918195 1005451 1141729 1169369 
003039	3 / 8 / 4	PEMSTD	0375562	1	0868309 0870907 0907155 
002164	2 / 26 / 19	TAYSEM	0180723	1	0868382 1015706 
001456	5 / 13 / 6	PK227	0024218	1	0869484 0871681 0876307 0950504 0993532 
002712	1 / 14 / 1	GOA	0031353	2	0869575 
007010	26 / 37 / 31	CARP21	0162976	1	0869670 0901481 0906447 0918074 0920400 0959337 0960037 0964596 0987600 1001905 1007134 1013071 1018857 1019940 1020695 1024315 1025623 1066308 1066679 1076923 1078648 1083626 1083812 1086916 3073143 3085403 
005297	1 / 13 / 1	CARP17	0031489	2	0871309 
005290	4 / 8 / 4	CAN314	1062910	1	0883015 0899636 0902226 1172030 
001836	55 / 89 / 66	TH110	0898918	1	0884876 0904680 0992796 1003644 1004225 1006744 1009559 1017444 1020150 1021867 1025460 1025569 1029566 1030693 1032929 1034405 1035148 1036225 1038671 1041559 1050781 1055290 1056688 1056738 1056963 1064045 1065142 1066778 1067460 1067933 1068371 1076009 1076989 1077413 1078921 1079993 1081917 1081952 1082150 1083594 1129814 1142212 1143717 1145578 1169257 1170071 1170470 3065039 3070344 3070438 3071094 3072484 3073357 3076930 3080595 
008467	6 / 17 / 8	PK349	0125630	1	0988245 0991120 1004324 1066924 1088192 3086238 
006024	28 / 59 / 48	DAL204	0301909	1	0885444 0920261 1040874 1066683 1119989 1129708 1131602 1142227 1142309 1143290 1150965 1158007 1159063 1160658 1161132 1169341 1169402 1171461 3064940 3068712 3069264 3070406 3071015 3072208 3072594 3075188 3078073 3085644 
002366	11 / 21 / 14	DAL105	1168179	1	0887398 0903191 0907150 0998351 0999833 1029210 1065945 1067726 1083430 1084462 1085324 
006500	14 / 39 / 32	PK229	0127086	1	0887478 0910884 0911775 0986262 0988631 0988990 0989395 1024283 1067251 1067297 1067862 1143265 1150758 3069991 
007896	2 / 7 / 4	ROSTUD	0468281	1	1004997 1040618 
009274	5 / 21 / 7	CARP25	0058557	2	0889384 0896979 0901868 0904752 0912333 
001747	2 / 13 / 5	GOB	0416447	1	0890043 0915622 
001757	3 / 17 / 3	DAL100A	3094709	2	0890043 0910834 0916595 
006502	3 / 12 / 5	PK337	0031621	1	0896287 1029787 1170860 
007381	20 / 31 / 21	PK336	0031611	1	0896476 0899135 0901409 0903449 0950811 0959200 0960497 0966125 0987243 0993517 1002036 1002047 1003128 1025533 1049299 1064790 1067377 1079268 1079444 3080937 
002416	2 / 3 / 2	PK11	0493856	1	0897091 1037291 
007877	5 / 26 / 9	TH224	0031386	2	0898741 1021751 1146370 1158026 3078500 
004882	1 / 39 / 2	PK229	0031489	3	0899135 
001151	40 / 66 / 59	PK25	0309967	1	0900409 0901262 0906963 0917883 0920095 0980544 0988263 0992189 1009104 1011104 1017840 1018817 1020520 1025508 1025845 1037745 1044157 1045379 1055078 1057592 1065781 1077161 1077380 1077417 1080303 1115477 1122905 1134015 1137955 1146370 1150699 1169331 1169369 1169382 1170479 3072477 3073300 3073507 3077163 3085521 
004280	4 / 12 / 5	PK264	0031577	1	0901539 0909662 1056096 1066309 
004290	1 / 4 / 3	CAN311	1168243	1	1084909 
002635	13 / 31 / 23	GIL210	1167917	1	0901868 0910056 0913466 1017339 1017412 1019006 1064752 1126492 1126639 1145146 1146215 1158362 3074023 
003532	5 / 16 / 8	EHIII	1063157	1	0952008 0952211 0991756 0998885 1085631 
008811	5 / 11 / 5	ARNST	0576472	1	0902118 0908375 0915006 0993268 1007458 
001753	4 / 20 / 6	TAYE	0416447	2	0903338 1037291 1056320 1170033 
004027	4 / 20 / 6	PK278	0215359	2	0903449 0920237 1037338 1065271 
