71.48649
Course	Room	Teacher	Time	Students
006029	83 / 119 / 83	PK338	0031454	2	1009914 1090070 3081951 3088071 3089580 3092411 3092781 3093246 3094263 3094744 3095908 3097709 3099184 3099423 3099745 3105866 3108691 3108886 3109227 3110627 3114251 3114853 3114872 3115257 3119909 3122857 3125856 3125873 3126433 3126731 3149019 3150160 3151640 3152572 3152667 3155346 3155695 3158474 3169335 3177165 3177873 3183942 3185122 3185620 3188399 3189051 3190685 3191834 3192657 3193288 3193776 3203991 3204279 3204495 3204644 3205324 3210876 3211360 3213412 3213727 3214138 3215784 3216633 3216898 3216906 3217313 3217371 3221143 3227175 3228759 3238414 3248326 3248716 3249841 3251946 3288377 3306482 3315084 3315957 3316614 3316819 3322141 3330431 
003560	6 / 27 / 17	EHIII	0031359	1	1017457 3066711 3073216 3080774 3081927 3152434 
003500	9 / 20 / 13	CARP15	3194193	1	1012792 1073316 3084658 3085407 3087948 3215635 3254053 3255502 3322949 
001768	7 / 19 / 12	TH224	0027799	1	1079912 1157995 3067585 3076209 3078232 3095290 3211396 
002182	7 / 17 / 9	TH111	0428815	1	1017882 1093828 1109276 1112411 3057362 3062766 3070495 
002637	4 / 10 / 6	TH251	3393919	2	1019072 3094479 3097521 3239494 
003447	22 / 43 / 24	EHLEC	0031359	2	1024854 1059663 1070105 1092805 1093772 1135650 1150448 1154715 1157995 1162792 1163242 3079120 3082941 3103203 3104716 3121199 3122181 3152743 3181938 3216420 3217615 3329187 
007920	3 / 4 / 3	CAN311	0031386	1	1024854 1092805 3090029 
011834	17 / 36 / 20	TAYG	0470839	2	1072694 1076479 1079538 1081304 1097508 1115327 1133642 1159860 3065779 3068444 3081503 3084075 3107592 3191876 3219428 3306761 3332252 
003424	12 / 36 / 19	PK243	3393009	2	1029713 1073428 1088535 1095145 1119061 3064819 3070887 3079829 3085846 3089115 3145695 3305222 
003492	14 / 31 / 18	TAYB	1084371	2	1029835 1087771 1093453 1129252 3061759 3062512 3064869 3066992 3069352 3215249 3215601 3216871 3315789 3322151 
001843	15 / 31 / 19	TAYB	0056992	1	1073230 1080980 1091600 3067214 3068251 3068911 3070045 3088010 3091370 3092151 3093208 3105382 3120137 3265450 3293645 
008447	7 / 19 / 12	TAYC	0132890	1	1080595 1090521 3081073 3173096 3211593 3217439 3304723 
003270	8 / 20 / 13	TAYD	0492451	1	1117207 3092604 3097075 3097709 3194873 3211393 3217195 3316273 
011528	1 / 5 / 4	PK300	3310251	1	3217615 
005156	19 / 40 / 24	BYC106	0493855	2	1048446 1080360 1126780 3067793 3073483 3081720 3084782 3098380 3127044 3179026 3213840 3217793 3233348 3254195 3292462 3317266 3330926 3331638 3332249 
006525	5 / 11 / 8	CARP17	0031573	1	1129252 3085302 3158474 3210027 3248179 
008800	6 / 17 / 11	PK278	0031572	1	1048446 3070830 3161390 3192657 3212293 3307517 
010944	3 / 7 / 5	BYC100	0777265	1	3063558 3098490 3215241 
001763	5 / 11 / 8	TAYSEM	3393848	1	1154382 1154715 3177284 3204688 3311452 
002375	1 / 5 / 2	EHSEM	0125630	2	1049332 
002403	2 / 4 / 3	PK10	1137952	1	1093758 3151195 
006026	32 / 45 / 40	TH110	0213446	1	1049332 1079503 1080542 1081207 1103971 3062860 3078066 3082488 3086192 3098243 3098983 3099257 3104777 3126883 3152623 3152743 3160933 3188882 3191191 3212784 3217313 3217408 3232822 3248478 3252312 3254879 3312113 3322663 3322722 3322740 3331618 3333459 
011847	4 / 17 / 7	PK278	3195964	2	1049392 1052099 1139204 3065806 
002643	3 / 7 / 4	PK337	0827051	2	1051315 3057461 3070231 
