86.93364
Zero Conflict:50977
Nonzero Conflict:3914
Course	Room	Teacher	Time	Students
011223	10 / 78 / 10	TH110	0207327	13	3692771 3581980 3477425 3462565 3693789 3513947 3561084 3581952 3628726 3580114 
009304	12 / 78 / 12	TH110	1137952	14	3581981 3493764 3580671 3695542 3581247 3690516 3693092 3667677 3559462 3667381 3667654 3668538 
001766	11 / 174 / 11	PK20	3998659	15	3699561 3600785 3694101 3544945 3816708 3599090 3900952 3578177 3610681 3857764 3544254 
007375	40 / 174 / 40	PK20	0820103	16	3600785 3651750 3821088 3789136 3796723 3691616 3699613 3651487 3816104 3818762 3612623 3667385 3692187 3818746 3581149 3629467 3645720 3693433 3712913 3728679 3774116 3797192 3817682 3820479 3578673 3668749 3668790 3668818 3668959 3669029 3669047 3797619 3797630 3797632 3797714 3797774 3797803 3910507 3910583 3910651 
015665	13 / 78 / 13	TH110	3318436	17	3544262 3600785 3619323 3630915 3634695 3818686 3602435 3652373 3579143 3483036 3544254 3575769 3820958 
006546	5 / 78 / 5	TH110	0031478	15	3648970 3820378 3694798 3668820 3797760 
015679	8 / 78 / 8	TH110	0247216	16	3689931 3397771 3692852 3995719 3581907 3693565 3694741 3519499 
006031	73 / 174 / 73	PK20	3839982	17	3914820 3768303 3678357 3699567 3903896 3929235 3930678 3930817 3769368 3790857 3796906 3819177 3822912 3848104 3905871 3913671 3929679 3668378 3691783 3759337 3821166 3914813 3819196 3820745 3904251 3692862 3816486 3914515 3823387 3602816 3821044 3821179 3930054 3821958 3930296 3956133 3613455 3930047 3695643 3901413 3905460 3930083 3578747 3649880 3651465 3710476 3716140 3788990 3816554 3817507 3818025 3821077 3821554 3824188 3846920 3850568 3861339 3929237 3929894 3847728 3904645 3929979 4093446 3908117 3360165 3797728 3910466 3910468 3910587 3910700 3910735 4086373 4093813 
008484	14 / 174 / 14	PK20	3420576	18	3790492 3580346 3663306 3709927 3655749 3678350 3510665 3530220 3578036 3632103 3691140 3764207 3666207 3668936 
004015	12 / 78 / 12	TH110	0031578	18	3795919 3667453 3910937 3819177 3903138 3821180 3821008 3816960 3762625 3792350 3818029 3821034 
001152	75 / 174 / 75	PK20	3996563	20	3915044 3910185 3813457 3816756 3903994 3905868 3577109 3667453 3814296 3816108 3819304 3901722 3901790 3914344 3930052 3652473 3690652 3789136 3811941 3822218 3845742 3852207 3929586 3930026 3930162 3930260 3768588 3815949 3834985 3930168 3900952 3904251 3914515 3576990 3652353 3690845 3823405 3903833 3930025 3616206 3695145 3863747 3914875 3796148 3818274 3851913 3915332 3672031 3797324 3814776 3771747 3819353 3826470 3854723 3928966 3768515 3781152 3796247 3796732 3817427 3817969 3820395 3821097 3834370 3901669 3903909 3906818 3914928 3929222 3929635 3904645 3821552 3910538 3910738 3910766 
004016	13 / 78 / 13	TH110	3442425	19	3813457 3931001 3610671 3833378 3708949 3793612 3929644 3816530 3432357 3823151 3816554 3930485 3816466 
014571	87 / 174 / 174	PK20	3926311	21	3631215 3930841 3789175 3907037 3929704 3839910 3930674 3910185 3795919 3813457 3851345 3699567 3816108 3821440 3823307 3846717 3901790 3903861 3914344 3915040 3915043 3929235 3930042 3930544 3930831 3693084 3790857 3799474 3801768 3818064 3833378 3845742 3902905 3910848 3913671 3914502 3929586 3930705 3773692 3834985 3902439 3858042 3931962 3722764 3799593 3913164 3915088 3652353 3816483 3930025 3648550 3695145 3863747 3930070 3930608 3823094 3911054 3915054 3771823 3819393 3823391 3902404 3721962 3788616 3854723 3513947 3561660 3715444 3768515 3820588 3821097 3843290 3858715 3860357 3902911 3906818 3909951 3913863 3914696 3912597 3930865 3931064 3915203 3517604 3797694 4086403 4086471 
